clinic_location,weekday,hour_of_day,avg_scheduled_appointments,avg_attended_appointments,avg_providers_scheduled,avg_appointments_per_provider,avg_wait_time_minutes,avg_walkouts,clinic_days,demand_coverage_mismatch
Central City,Friday,10,11.520754716981132,10.596226415094339,3.0,3.5329056603773585,13.860490566037734,0.879245283018868,26,True
Central City,Thursday,16,8.043478260869565,7.375,3.0,2.457826086956522,13.450054347826086,0.5,26,True
West End,Saturday,8,5.181818181818182,4.381818181818182,1.0,4.381818181818182,13.439,0.24545454545454545,26,True
Central City,Tuesday,15,11.607773851590107,10.56183745583039,3.0,3.5207773851590107,13.41250883392226,0.8162544169611308,26,True
Central City,Friday,15,10.946768060836503,10.357414448669202,3.0,3.4529657794676805,13.298897338403043,0.5741444866920152,26,True
Central City,Thursday,10,10.45,9.470833333333333,3.0,3.157166666666667,13.149916666666666,0.8833333333333333,26,True
West End,Wednesday,10,7.466257668711656,6.969325153374233,2.0,3.4846625766871164,13.14957055214724,0.588957055214724,25,True
West End,Monday,8,5.310344827586207,4.482758620689655,1.0,4.482758620689655,12.992155172413792,0.29310344827586204,26,True
West End,Tuesday,11,4.0,3.7738095238095237,2.0,1.8869047619047619,12.827261904761905,0.5595238095238095,26,True
Lakeside,Friday,7,2.5,2.5,0.0,,12.7525,0.0,2,True
Central City,Monday,7,1.6,1.6,0.0,,12.699,0.0,8,True
Northside,Friday,7,1.0,1.0,0.0,,12.4,0.0,10,True
West End,Thursday,7,1.0,1.0,0.0,,12.2,0.0,10,True
West End,Friday,15,6.059701492537314,5.7835820895522385,2.0,2.8917910447761193,12.121654135338346,0.5522388059701493,26,True
Central City,Tuesday,7,1.2222222222222223,1.2222222222222223,0.0,,11.88888888888889,0.0,8,False
Central City,Thursday,11,7.726256983240224,6.932960893854749,3.0,2.311173184357542,11.843966480446928,0.3407821229050279,26,False
West End,Wednesday,8,3.961038961038961,3.7012987012987013,1.0,3.7012987012987013,11.703289473684212,0.18181818181818182,25,True
Central City,Tuesday,10,9.893805309734514,9.176991150442477,3.0,3.0595132743362834,11.454734513274337,0.6327433628318584,26,True
West End,Wednesday,11,3.95,3.75,2.0,1.875,11.138,0.375,24,False
West End,Thursday,8,4.680851063829787,4.404255319148936,1.0,4.404255319148936,11.01159574468085,0.23404255319148937,24,True
Central City,Wednesday,15,10.28448275862069,9.857758620689655,3.0,3.286594827586207,10.974267241379309,0.6077586206896551,25,True
West End,Monday,7,1.4,1.4,0.0,,10.9,0.0,8,False
West End,Tuesday,7,1.0,1.0,0.0,,10.88888888888889,0.1,10,False
Central City,Wednesday,7,1.7692307692307692,1.7692307692307692,0.0,,10.615384615384615,0.0,9,False
West End,Monday,11,6.234375,5.296875,2.0,2.6484375,10.5709375,0.2265625,25,True
Northside,Tuesday,7,1.2222222222222223,1.2222222222222223,0.0,,10.5,0.1111111111111111,8,False
West End,Tuesday,8,4.36734693877551,3.857142857142857,1.0,3.857142857142857,10.121020408163265,0.2653061224489796,26,True
West End,Friday,8,4.96039603960396,4.02970297029703,1.0,4.02970297029703,10.0153,0.15841584158415842,25,True
West End,Saturday,12,3.0,2.6226415094339623,2.0,1.3113207547169812,9.689019607843138,0.39622641509433965,22,False
Central City,Saturday,9,10.389121338912133,9.506276150627615,3.0,3.168451882845188,9.574560669456067,0.26359832635983266,26,True
Central City,Friday,7,1.2222222222222223,1.2222222222222223,0.0,,9.25,0.1111111111111111,8,False
Central City,Tuesday,11,7.369942196531792,6.763005780346821,3.0,2.255606936416185,9.163526011560693,0.5953757225433526,26,False
Central City,Friday,17,1.0,1.0,0.0,,9.0,0.2,5,False
West End,Wednesday,9,7.2405063291139244,6.7215189873417724,2.0,3.3607594936708862,8.973354430379747,0.5063291139240507,25,True
West End,Thursday,14,5.481481481481482,5.166666666666667,2.0,2.5833333333333335,8.94888888888889,0.2777777777777778,26,True
Central City,Thursday,15,10.419354838709678,9.701612903225806,3.0,3.233185483870968,8.824475806451613,0.4032258064516129,26,True
Northside,Wednesday,7,1.2,1.2,0.0,,8.8,0.0,9,False
West End,Friday,9,6.594405594405594,5.909090909090909,2.0,2.9545454545454546,8.68027972027972,0.27972027972027974,26,True
West End,Friday,16,4.230769230769231,4.065934065934066,2.0,2.032967032967033,8.528681318681318,0.06593406593406594,26,False
West End,Tuesday,9,5.584615384615384,5.292307692307692,2.0,2.646153846153846,8.523076923076923,0.2692307692307692,26,True
Lakeside,Monday,7,1.0,1.0,0.0,,8.2,0.0,5,False
West End,Thursday,11,4.484536082474227,3.9278350515463916,2.0,1.9639175257731958,8.152886597938144,0.15463917525773196,25,False
Central City,Thursday,7,1.6666666666666667,1.6666666666666667,0.0,,8.083333333333334,0.16666666666666666,8,False
Lakeside,Wednesday,7,1.7272727272727273,1.7272727272727273,0.0,,8.0,0.0,7,False
Northside,Saturday,10,10.327935222672064,9.728744939271255,3.0,3.2433603238866398,7.606437246963563,0.27530364372469635,26,True
Central City,Monday,9,8.92079207920792,8.311881188118813,3.0,2.7704950495049503,6.97519801980198,0.29207920792079206,26,True
West End,Wednesday,16,4.447368421052632,3.8947368421052633,2.0,1.9473684210526316,6.7518666666666665,0.2236842105263158,22,False
West End,Wednesday,7,1.0,1.0,0.0,,6.7,0.0,10,False
Northside,Saturday,11,6.653333333333333,6.033333333333333,3.0,2.0107333333333335,6.5389932885906035,0.5466666666666666,26,False
Central City,Wednesday,12,4.290322580645161,3.967741935483871,3.0,1.3227956989247311,6.4531182795698925,0.24731182795698925,24,False
Lakeside,Tuesday,7,1.6666666666666667,1.6666666666666667,0.0,,6.444444444444445,0.3333333333333333,7,False
Central City,Saturday,7,1.0,1.0,0.0,,6.333333333333333,0.14285714285714285,7,False
Central City,Monday,12,4.771428571428571,4.123809523809523,3.0,1.3744761904761904,6.261809523809524,0.20952380952380953,25,False
Lakeside,Thursday,7,1.0,1.0,0.0,,6.2,0.0,5,False
Northside,Monday,7,1.4,1.4,0.0,,6.2,0.0,8,False
Northside,Thursday,7,1.3636363636363635,1.3636363636363635,0.0,,6.2,0.09090909090909091,9,False
West End,Thursday,16,4.3,3.9,2.0,1.95,6.177875,0.5125,25,False
West End,Monday,12,3.3661971830985915,2.788732394366197,2.0,1.3943661971830985,6.093098591549296,0.16901408450704225,25,False
Lakeside,Saturday,7,1.3636363636363635,1.3636363636363635,0.0,,6.0,0.0,9,False
West End,Friday,12,3.4761904761904763,3.3968253968253967,2.0,1.6984126984126984,5.914354838709677,0.19047619047619047,22,False
West End,Wednesday,15,5.114285714285714,4.847619047619047,2.0,2.4238095238095236,5.807047619047619,0.05714285714285714,24,False
Northside,Saturday,7,1.0,1.0,0.0,,5.5,0.0,8,False
Central City,Thursday,9,7.662983425414365,7.342541436464089,3.0,2.448011049723757,5.30889502762431,0.26519337016574585,26,False
West End,Friday,7,1.0,1.0,0.0,,5.285714285714286,0.125,8,False
Central City,Monday,14,8.717171717171718,8.015151515151516,3.0,2.672929292929293,5.272525252525253,0.23737373737373738,26,True
West End,Tuesday,15,5.358974358974359,4.641025641025641,2.0,2.3205128205128207,5.252991452991453,0.06837606837606838,26,False
West End,Monday,14,4.982300884955753,4.566371681415929,2.0,2.2831858407079646,5.251339285714286,0.19469026548672566,26,False
Central City,Monday,8,5.148148148148148,4.564814814814815,2.0,2.2824074074074074,5.189814814814815,0.3148148148148148,26,False
West End,Monday,16,4.801980198019802,4.118811881188119,2.0,2.0594059405940595,5.173366336633663,0.2376237623762376,26,False
West End,Monday,15,5.778625954198473,4.740458015267175,2.0,2.3702290076335877,5.0803053435114505,0.22137404580152673,26,False
West End,Friday,14,5.478632478632479,5.119658119658119,2.0,2.5598290598290596,5.024051724137931,0.21367521367521367,25,True
Central City,Friday,12,4.024390243902439,3.6707317073170733,3.0,1.2246341463414634,4.962716049382716,0.24390243902439024,25,False
Central City,Tuesday,17,1.0,1.0,0.0,,4.8,0.0,5,False
West End,Tuesday,16,3.76056338028169,3.3943661971830985,2.0,1.6971830985915493,4.771000000000001,0.028169014084507043,25,False
West End,Thursday,15,4.94392523364486,4.644859813084112,2.0,2.322429906542056,4.708130841121495,0.21495327102803738,25,False
Northside,Thursday,15,6.929078014184397,6.375886524822695,3.0,2.1258156028368793,4.567234042553191,0.24822695035460993,26,False
Northside,Monday,10,9.72645739910314,8.533632286995516,3.0,2.844843049327354,4.550807174887892,0.4304932735426009,26,True
Central City,Wednesday,9,7.96,7.594285714285714,3.0,2.531257142857143,4.2228,0.3028571428571429,25,True
West End,Tuesday,14,5.300884955752212,4.84070796460177,2.0,2.420353982300885,4.170973451327433,0.1504424778761062,25,False
Northside,Tuesday,10,7.857142857142857,7.195767195767195,3.0,2.397777777777778,4.156719576719577,0.12698412698412698,26,False
West End,Monday,13,3.0677966101694913,2.8135593220338984,2.0,1.4067796610169492,4.025593220338983,0.1864406779661017,25,False
Central City,Tuesday,9,8.220338983050848,7.5875706214689265,3.0,2.5298870056497176,3.9911299435028247,0.0903954802259887,26,True
Central City,Saturday,8,5.305084745762712,4.661016949152542,2.0,2.330508474576271,3.8646610169491526,0.0,26,False
West End,Wednesday,14,4.922330097087379,4.728155339805825,2.0,2.3640776699029127,3.8066019417475725,0.18446601941747573,25,False
Central City,Tuesday,14,6.98639455782313,6.653061224489796,3.0,2.217142857142857,3.7885714285714283,0.19727891156462585,26,False
West End,Tuesday,12,3.9375,3.5625,2.0,1.78125,3.76859375,0.09375,23,False
Northside,Monday,11,6.315068493150685,5.335616438356165,3.0,1.778150684931507,3.6652739726027397,0.3561643835616438,26,False
Northside,Wednesday,10,8.43915343915344,7.656084656084656,3.0,2.551904761904762,3.661798941798942,0.3439153439153439,25,True
Central City,Friday,14,7.439024390243903,6.963414634146342,3.0,2.321219512195122,3.621646341463414,0.23780487804878048,26,False
Northside,Friday,10,7.357142857142857,6.964285714285714,3.0,2.3217857142857143,3.547559523809524,0.3273809523809524,26,False
Northside,Wednesday,15,7.16969696969697,6.63030303030303,3.0,2.2104848484848487,3.519575757575758,0.12121212121212122,25,False
Central City,Thursday,8,4.8901098901098905,4.43956043956044,2.0,2.21978021978022,3.513103448275862,0.10989010989010989,24,False
Central City,Tuesday,8,4.795454545454546,4.329545454545454,2.0,2.164772727272727,3.505113636363636,0.17045454545454544,25,False
West End,Wednesday,12,3.0,2.711864406779661,2.0,1.3559322033898304,3.4747457627118643,0.03389830508474576,22,False
Northside,Tuesday,11,6.2,5.714285714285714,3.0,1.9050714285714285,3.4243571428571427,0.34285714285714286,26,False
Central City,Tuesday,12,4.46067415730337,4.191011235955056,3.0,1.3968539325842697,3.3741573033707866,0.033707865168539325,26,False
Northside,Friday,11,6.13103448275862,5.827586206896552,3.0,1.9419310344827585,3.227655172413793,0.2689655172413793,26,False
Central City,Thursday,12,4.182795698924731,3.817204301075269,3.0,1.2722580645161292,3.0131521739130434,0.15053763440860216,25,False
West End,Friday,13,3.8266666666666667,3.4133333333333336,2.0,1.7066666666666668,2.8725675675675673,0.2,24,False
Northside,Saturday,9,7.424242424242424,6.9393939393939394,3.0,2.313090909090909,2.832317073170732,0.05454545454545454,26,False
Northside,Thursday,10,8.05699481865285,7.590673575129534,3.0,2.530673575129534,2.831658031088083,0.21243523316062177,26,True
Central City,Wednesday,14,7.185185185185185,6.851851851851852,3.0,2.284506172839506,2.7460493827160493,0.16666666666666666,25,False
Northside,Saturday,8,4.180722891566265,3.7349397590361444,2.0,1.8674698795180722,2.7436144578313253,0.0,25,False
Central City,Thursday,14,7.0272108843537415,6.700680272108843,3.0,2.2341496598639456,2.6912244897959186,0.42857142857142855,26,False
Northside,Tuesday,15,7.105882352941176,6.423529411764706,3.0,2.140294117647059,2.591470588235294,0.23529411764705882,26,False
Northside,Wednesday,11,5.868852459016393,5.270491803278689,3.0,1.757049180327869,2.5895901639344263,0.040983606557377046,24,False
Lakeside,Monday,10,7.96045197740113,7.11864406779661,3.0,2.372994350282486,2.5207909604519774,0.1694915254237288,26,False
West End,Thursday,13,3.8,3.6,2.0,1.8,2.433,0.06666666666666667,21,False
Northside,Tuesday,16,5.061224489795919,4.540816326530612,3.0,1.5141836734693879,2.3040816326530615,0.2755102040816326,25,False
Northside,Monday,15,8.427027027027027,7.1567567567567565,3.0,2.386162162162162,2.250810810810811,0.3567567567567568,26,False
Northside,Friday,15,6.26530612244898,5.666666666666667,3.0,1.8891836734693876,2.2122448979591836,0.17006802721088435,26,False
Central City,Thursday,17,1.5,1.5,0.0,,2.0,0.0,3,False
Northside,Thursday,11,5.380165289256198,4.87603305785124,3.0,1.6264462809917357,1.9530578512396695,0.1652892561983471,26,False
Lakeside,Tuesday,10,6.936305732484076,6.057324840764331,3.0,2.019299363057325,1.9029299363057324,0.19745222929936307,26,False
Central City,Friday,9,6.732484076433121,6.280254777070064,3.0,2.0937579617834396,1.8637579617834397,0.3184713375796178,26,False
Central City,Wednesday,8,4.515151515151516,4.01010101010101,2.0,2.005050505050505,1.8369387755102042,0.15151515151515152,25,False
Northside,Wednesday,14,7.3120567375886525,6.907801418439717,3.0,2.3017021276595746,1.8182978723404255,0.45390070921985815,24,False
Lakeside,Wednesday,10,6.3478260869565215,5.8478260869565215,3.0,1.9491304347826088,1.808623188405797,0.10144927536231885,25,False
Central City,Friday,13,4.489795918367347,3.9183673469387754,3.0,1.3062244897959183,1.734591836734694,0.23469387755102042,26,False
Central City,Wednesday,13,4.543478260869565,4.5,3.0,1.5,1.7171739130434782,0.07608695652173914,25,False
Lakeside,Saturday,10,8.59,7.88,3.0,2.62675,1.6791999999999998,0.335,26,True
West End,Thursday,12,3.0408163265306123,2.693877551020408,2.0,1.346938775510204,1.666875,0.08163265306122448,22,False
West End,Tuesday,13,3.107142857142857,3.017857142857143,2.0,1.5089285714285714,1.6367272727272726,0.07142857142857142,23,False
Northside,Wednesday,16,5.235294117647059,4.862745098039215,3.0,1.6212745098039216,1.6313725490196078,0.10784313725490197,25,False
Lakeside,Saturday,11,5.723076923076923,5.130769230769231,3.0,1.7096153846153845,1.5886153846153848,0.4,26,False
Northside,Wednesday,8,3.909090909090909,3.3181818181818183,2.0,1.6590909090909092,1.5722727272727273,0.15151515151515152,22,False
Northside,Monday,9,7.968085106382978,6.787234042553192,3.0,2.262872340425532,1.4846808510638299,0.2074468085106383,26,False
Northside,Thursday,8,2.9322033898305087,2.542372881355932,2.0,1.271186440677966,1.4774137931034483,0.13559322033898305,24,False
Northside,Thursday,16,4.628865979381444,4.319587628865979,3.0,1.4391752577319588,1.4543298969072165,0.061855670103092786,26,False
Northside,Monday,16,5.483333333333333,4.85,3.0,1.6160833333333333,1.4431666666666667,0.18333333333333332,26,False
Northside,Thursday,14,5.383333333333334,5.183333333333334,3.0,1.7282499999999998,1.4133333333333333,0.175,25,False
Northside,Monday,17,1.0,1.0,0.0,,1.4,0.0,5,False
Lakeside,Saturday,8,4.0,3.6621621621621623,2.0,1.8310810810810811,1.2924324324324323,0.04054054054054054,24,False
Lakeside,Monday,15,6.8933333333333335,6.233333333333333,3.0,2.078333333333333,1.2729931972789115,0.24,26,False
Central City,Monday,13,5.317757009345795,4.822429906542056,3.0,1.6081308411214952,1.2005607476635516,0.27102803738317754,24,False
Lakeside,Thursday,15,6.910256410256411,6.391025641025641,3.0,2.12974358974359,1.1787820512820513,0.10256410256410256,26,False
Northside,Monday,14,6.561643835616438,6.075342465753424,3.0,2.02486301369863,1.1289726027397262,0.22602739726027396,26,False
Northside,Friday,9,5.850746268656716,5.477611940298507,3.0,1.8253731343283581,1.1094776119402985,0.3656716417910448,26,False
Northside,Friday,16,4.551020408163265,4.051020408163265,3.0,1.351734693877551,1.0941836734693877,0.16326530612244897,26,False
Northside,Monday,8,3.8,3.3466666666666667,2.0,1.6733333333333333,1.0410958904109588,0.24,24,False
Northside,Tuesday,9,6.109489051094891,5.751824817518248,3.0,1.9167153284671532,1.0314598540145985,0.13138686131386862,26,False
Lakeside,Tuesday,11,4.612244897959184,4.285714285714286,3.0,1.4287755102040818,0.9978571428571429,0.09183673469387756,26,False
Northside,Tuesday,14,5.580152671755725,5.152671755725191,3.0,1.7177099236641222,0.9851908396946565,0.04580152671755725,26,False
Lakeside,Wednesday,15,6.616,5.912,3.0,1.97048,0.9288,0.04,25,False
Lakeside,Wednesday,8,2.925925925925926,2.7037037037037037,2.0,1.3518518518518519,0.9230769230769231,0.24074074074074073,22,False
Lakeside,Tuesday,15,6.054263565891473,5.767441860465116,3.0,1.9227906976744185,0.8775193798449613,0.18604651162790697,25,False
Northside,Wednesday,9,5.803149606299213,5.307086614173229,3.0,1.7683464566929135,0.8596062992125985,0.09448818897637795,25,False
Lakeside,Tuesday,9,5.198198198198198,4.72972972972973,3.0,1.5770270270270272,0.8154954954954955,0.05405405405405406,26,False
Lakeside,Monday,16,5.191489361702128,4.457446808510638,3.0,1.4861702127659573,0.8062222222222223,0.0,24,False
Northside,Thursday,9,7.0754716981132075,6.616352201257862,3.0,2.2051572327044027,0.7854716981132076,0.27672955974842767,26,False
Northside,Tuesday,8,3.8358208955223883,3.4776119402985075,2.0,1.7388059701492538,0.7750769230769231,0.029850746268656716,23,False
Lakeside,Monday,14,5.850393700787402,5.566929133858268,3.0,1.8558267716535433,0.7658267716535432,0.1732283464566929,26,False
Northside,Monday,13,3.674698795180723,3.4698795180722892,3.0,1.156987951807229,0.7469512195121951,0.2289156626506024,26,False
Northside,Friday,14,5.678571428571429,5.223214285714286,3.0,1.7410714285714286,0.7072072072072072,0.1875,26,False
Lakeside,Thursday,10,6.383561643835616,6.041095890410959,3.0,2.0135616438356165,0.6813698630136986,0.10273972602739725,26,False
Northside,Wednesday,12,2.896551724137931,2.8275862068965516,3.0,0.9425862068965517,0.6724137931034483,0.1896551724137931,23,False
West End,Wednesday,13,3.0377358490566038,2.830188679245283,2.0,1.4150943396226414,0.6698113207547169,0.09433962264150944,23,False
Lakeside,Monday,11,5.80672268907563,5.016806722689076,3.0,1.6722689075630253,0.6486554621848739,0.226890756302521,26,False
Lakeside,Wednesday,9,5.983333333333333,5.425,3.0,1.8073333333333332,0.6086666666666667,0.0,25,False
Northside,Monday,12,4.393258426966292,3.707865168539326,3.0,1.2365168539325841,0.5975280898876405,0.0898876404494382,24,False
Lakeside,Friday,10,5.703125,5.078125,3.0,1.69234375,0.589296875,0.0859375,26,False
Lakeside,Saturday,9,6.432624113475177,5.829787234042553,3.0,1.943758865248227,0.5671631205673758,0.09929078014184398,26,False
Lakeside,Friday,8,2.896551724137931,2.4827586206896552,2.0,1.2413793103448276,0.5085964912280702,0.0,24,False
Central City,Tuesday,13,4.2,3.8941176470588235,3.0,1.2971764705882354,0.5062352941176471,0.03529411764705882,24,False
Central City,Friday,8,3.262295081967213,2.9836065573770494,2.0,1.4918032786885247,0.4672131147540984,0.11475409836065574,23,False
Lakeside,Friday,16,4.246753246753247,3.74025974025974,3.0,1.2481818181818183,0.44103896103896106,0.1038961038961039,25,False
Northside,Saturday,12,3.6027397260273974,3.328767123287671,3.0,1.11013698630137,0.4288732394366197,0.136986301369863,26,False
Lakeside,Wednesday,16,3.632911392405063,3.1645569620253164,3.0,1.0545569620253166,0.3924050632911392,0.0,25,False
Lakeside,Thursday,11,4.902912621359223,4.495145631067961,3.0,1.4980582524271846,0.38844660194174757,0.1941747572815534,26,False
Lakeside,Friday,9,4.823529411764706,4.617647058823529,3.0,1.5397058823529413,0.3723529411764706,0.16666666666666666,25,False
Northside,Friday,8,3.3157894736842106,2.6491228070175437,2.0,1.3245614035087718,0.36607142857142855,0.017543859649122806,22,False
Central City,Thursday,13,4.670103092783505,4.164948453608248,3.0,1.388659793814433,0.36237113402061855,0.07216494845360824,26,False
Lakeside,Thursday,9,5.635514018691588,5.140186915887851,3.0,1.7140186915887852,0.3542990654205607,0.22429906542056074,26,False
Lakeside,Thursday,8,2.590909090909091,2.159090909090909,2.0,1.0795454545454546,0.325609756097561,0.06818181818181818,23,False
Lakeside,Wednesday,11,4.68,4.43,3.0,1.4768000000000001,0.32550000000000007,0.26,25,False
Lakeside,Tuesday,16,3.682926829268293,3.1707317073170733,3.0,1.056829268292683,0.3048780487804878,0.10975609756097561,26,False
Northside,Thursday,13,3.962025316455696,3.4050632911392404,3.0,1.1345569620253166,0.3039240506329114,0.1518987341772152,25,False
Lakeside,Monday,8,3.8275862068965516,3.3448275862068964,2.0,1.6724137931034482,0.28403508771929825,0.08620689655172414,20,False
Lakeside,Monday,9,5.3931623931623935,4.923076923076923,3.0,1.6415384615384616,0.2751282051282051,0.2222222222222222,26,False
Lakeside,Friday,15,5.704,5.04,3.0,1.6787999999999998,0.25136,0.192,26,False
Northside,Tuesday,12,3.3389830508474576,3.1186440677966103,3.0,1.040677966101695,0.2413793103448276,0.1694915254237288,23,False
Lakeside,Thursday,14,4.9361702127659575,4.446808510638298,3.0,1.4817021276595745,0.22765957446808513,0.2127659574468085,25,False
Lakeside,Friday,11,4.565217391304348,4.489130434782608,3.0,1.496195652173913,0.21956043956043955,0.08695652173913043,26,False
Lakeside,Thursday,16,4.382978723404255,3.9468085106382977,3.0,1.3146808510638297,0.21193548387096775,0.05319148936170213,26,False
Lakeside,Tuesday,8,2.8,2.28,2.0,1.14,0.20408163265306123,0.18,22,False
Lakeside,Tuesday,14,5.476190476190476,4.580952380952381,3.0,1.5260952380952382,0.19847619047619047,0.10476190476190476,24,False
Northside,Thursday,12,3.857142857142857,3.727272727272727,3.0,1.2424675324675325,0.15584415584415584,0.36363636363636365,24,False
Northside,Friday,13,3.4444444444444446,3.3333333333333335,3.0,1.1112698412698414,0.14483870967741933,0.20634920634920634,25,False
Lakeside,Friday,12,3.46875,3.390625,3.0,1.1296875,0.1273015873015873,0.046875,23,False
Lakeside,Friday,14,4.159090909090909,3.875,3.0,1.291818181818182,0.12727272727272726,0.07954545454545454,25,False
Lakeside,Wednesday,12,3.3076923076923075,3.1846153846153844,3.0,1.060769230769231,0.12307692307692308,0.1076923076923077,23,False
Lakeside,Wednesday,14,5.105263157894737,4.968421052631579,3.0,1.6573684210526314,0.06315789473684211,0.12631578947368421,25,False
Northside,Friday,12,2.9672131147540983,2.7049180327868854,3.0,0.9018032786885247,0.033166666666666664,0.03278688524590164,24,False
Northside,Wednesday,13,3.6,3.4,3.0,1.1323333333333332,0.0,0.16666666666666666,22,False
Northside,Tuesday,13,3.515151515151515,3.257575757575758,3.0,1.0860606060606062,0.0,0.16666666666666666,23,False
Lakeside,Tuesday,13,3.3389830508474576,3.2203389830508473,3.0,1.0733898305084746,0.0,0.15254237288135594,22,False
Lakeside,Friday,13,3.245614035087719,3.087719298245614,3.0,1.0282456140350877,0.0,0.07017543859649122,24,False
Lakeside,Monday,13,3.4507042253521125,3.0140845070422535,3.0,1.0049295774647888,0.0,0.08450704225352113,25,False
Lakeside,Wednesday,13,3.0714285714285716,3.0,3.0,0.9994642857142857,0.0,0.0,21,False
Lakeside,Thursday,12,3.225806451612903,2.9516129032258065,3.0,0.9840322580645161,0.0,0.0,25,False
Lakeside,Saturday,12,3.4477611940298507,2.8955223880597014,3.0,0.9667164179104477,0.0,0.014925373134328358,23,False
Lakeside,Tuesday,12,3.0,2.8979591836734695,3.0,0.9655102040816327,0.0,0.20408163265306123,22,False
Lakeside,Monday,12,2.8846153846153846,2.480769230769231,3.0,0.8269230769230769,0.0,0.0,22,False
Lakeside,Thursday,13,2.4545454545454546,2.3863636363636362,3.0,0.7947727272727273,0.0,0.20454545454545456,23,False
Central City,Saturday,13,1.0,1.0,0.0,,0.0,0.0,1,False
Lakeside,Monday,17,1.0,1.0,0.0,,0.0,0.0,1,False
Lakeside,Tuesday,17,1.0,1.0,0.0,,0.0,0.0,1,False
Lakeside,Wednesday,17,1.6666666666666667,1.6666666666666667,0.0,,0.0,0.6666666666666666,2,False
Lakeside,Thursday,17,1.0,1.0,0.0,,0.0,0.0,4,False
Lakeside,Friday,17,1.0,1.0,0.0,,0.0,0.0,1,False
Northside,Tuesday,17,2.0,2.0,0.0,,0.0,0.0,1,False
Northside,Wednesday,17,1.0,1.0,0.0,,0.0,0.0,1,False
Northside,Thursday,17,1.0,1.0,0.0,,0.0,0.0,3,False
Northside,Saturday,13,1.0,1.0,0.0,,0.0,0.0,1,False
West End,Monday,17,1.0,1.0,0.0,,0.0,0.3333333333333333,3,False
West End,Tuesday,17,1.0,1.0,0.0,,0.0,0.0,2,False
West End,Thursday,17,1.6666666666666667,1.6666666666666667,0.0,,0.0,0.0,2,False
West End,Friday,17,1.0,1.0,0.0,,0.0,0.0,2,False
West End,Saturday,13,1.0,1.0,0.0,,0.0,0.0,1,False
