clinic_location,appointment_date,hour_of_day,scheduled_appointments,attended_appointments,completed_appointments,avg_wait_time_minutes,walked_out_appointments,providers_scheduled,appointments_per_provider
Central City,2026-01-08,14,5,4,4,0.0,0,3,1.33
Central City,2026-01-08,15,6,6,6,1.33,0,3,2.0
Central City,2026-01-08,16,11,11,11,24.45,0,3,3.67
Central City,2026-01-09,8,6,6,6,2.0,0,2,3.0
Central City,2026-01-09,9,7,7,7,10.71,0,3,2.33
Central City,2026-01-09,10,7,6,6,2.83,0,3,2.0
Central City,2026-01-09,11,4,4,4,0.0,0,3,1.33
Central City,2026-01-09,12,3,3,3,0.0,0,3,1.0
Central City,2026-01-09,13,4,2,2,0.0,0,3,0.67
Central City,2026-01-09,14,5,4,4,0.0,0,3,1.33
Central City,2026-01-09,15,15,15,15,16.87,0,3,5.0
Central City,2026-01-09,16,8,8,5,53.0,3,3,2.67
Central City,2026-01-09,17,1,1,1,35.0,0,0,
Central City,2026-01-10,8,5,4,4,2.5,0,2,2.0
Central City,2026-01-10,9,9,8,8,2.75,0,3,2.67
Central City,2026-01-10,10,15,12,10,15.4,2,3,4.0
Central City,2026-01-10,11,9,9,7,1.86,2,3,3.0
Central City,2026-01-10,12,5,5,3,8.33,2,3,1.67
Central City,2026-01-12,8,6,6,4,0.25,2,2,3.0
Central City,2026-01-12,9,5,4,4,0.0,0,3,1.33
Central City,2026-01-12,10,13,11,10,17.5,1,3,3.67
Central City,2026-01-12,11,7,6,5,9.6,1,3,2.0
Central City,2026-01-12,12,6,6,6,27.5,0,3,2.0
Central City,2026-01-12,13,5,5,4,7.75,1,3,1.67
Central City,2026-01-12,14,5,5,5,3.6,0,3,1.67
Central City,2026-01-12,15,15,13,12,36.08,1,3,4.33
Central City,2026-01-12,16,11,10,8,57.0,2,3,3.33
Central City,2026-01-12,17,2,2,2,51.5,0,0,
Central City,2026-01-13,9,5,5,5,0.0,0,3,1.67
Central City,2026-01-13,10,10,10,9,13.89,1,3,3.33
Central City,2026-01-13,11,7,5,5,5.8,0,3,1.67
Central City,2026-01-13,12,2,2,2,0.0,0,3,0.67
Central City,2026-01-13,13,4,4,4,0.0,0,3,1.33
Central City,2026-01-13,14,1,1,1,0.0,0,3,0.33
Central City,2026-01-13,15,4,3,3,0.0,0,3,1.0
Central City,2026-01-13,16,3,3,3,0.0,0,3,1.0
Central City,2026-01-14,8,3,3,3,0.0,0,2,1.5
Central City,2026-01-14,9,6,6,6,1.17,0,3,2.0
Central City,2026-01-14,10,5,4,3,0.0,1,3,1.33
Central City,2026-01-14,11,8,7,7,8.43,0,3,2.33
Central City,2026-01-14,12,4,4,3,0.0,1,3,1.33
Central City,2026-01-14,13,3,3,3,0.0,0,3,1.0
Central City,2026-01-14,14,7,7,7,2.14,0,3,2.33
Central City,2026-01-14,15,9,9,9,6.0,0,3,3.0
Central City,2026-01-14,16,8,7,7,6.86,0,3,2.33
Central City,2026-01-15,8,2,2,2,0.0,0,2,1.0
Central City,2026-01-15,9,5,5,5,0.0,0,3,1.67
Central City,2026-01-15,10,8,7,7,8.43,0,3,2.33
Central City,2026-01-15,11,6,6,6,13.67,0,3,2.0
Central City,2026-01-15,13,2,2,2,0.0,0,3,0.67
Central City,2026-01-15,14,5,5,5,0.0,0,3,1.67
Central City,2026-01-15,15,3,2,2,0.0,0,3,0.67
Central City,2026-01-15,16,6,6,6,1.33,0,3,2.0
Central City,2026-01-16,8,2,2,2,0.0,0,2,1.0
Central City,2026-01-16,9,4,4,4,0.0,0,3,1.33
Central City,2026-01-16,10,6,6,6,0.0,0,3,2.0
Central City,2026-01-16,11,1,1,1,0.0,0,3,0.33
Central City,2026-01-16,12,4,3,3,0.0,0,3,1.0
Central City,2026-01-16,13,3,1,1,0.0,0,3,0.33
Central City,2026-01-16,14,5,4,4,0.0,0,3,1.33
Central City,2026-01-16,15,12,11,10,11.2,1,3,3.67
Central City,2026-01-16,16,18,13,12,26.08,1,3,4.33
Central City,2026-01-16,17,1,1,0,,1,0,
Central City,2026-01-17,8,3,3,3,4.0,0,2,1.5
Central City,2026-01-17,9,12,11,11,11.27,0,3,3.67
Central City,2026-01-17,10,9,9,9,7.22,0,3,3.0
Central City,2026-01-17,11,6,5,5,17.4,0,3,1.67
Central City,2026-01-17,12,1,1,1,1.0,0,3,0.33
Central City,2026-01-19,8,3,2,2,0.0,0,2,1.0
Central City,2026-01-19,9,7,7,7,6.43,0,3,2.33
Central City,2026-01-19,10,10,9,8,0.62,1,3,3.0
Central City,2026-01-19,11,7,7,7,4.86,0,3,2.33
Central City,2026-01-19,12,4,4,4,3.25,0,3,1.33
Central City,2026-01-19,13,1,1,1,0.0,0,3,0.33
Central City,2026-01-19,14,6,5,5,0.0,0,3,1.67
Central City,2026-01-19,15,14,13,11,17.36,2,3,4.33
Central City,2026-01-19,16,9,9,8,36.88,1,3,3.0
Central City,2026-01-19,17,1,1,1,24.0,0,0,
Central City,2026-01-20,7,1,1,1,5.0,0,0,
Central City,2026-01-20,8,3,3,3,0.0,0,2,1.5
Central City,2026-01-20,9,5,5,5,0.0,0,3,1.67
Central City,2026-01-20,10,11,10,10,11.1,0,3,3.33
Central City,2026-01-20,11,3,3,3,3.0,0,3,1.0
Central City,2026-01-20,12,4,4,4,0.0,0,3,1.33
Central City,2026-01-20,13,4,3,3,0.0,0,3,1.0
Central City,2026-01-20,14,6,6,6,1.83,0,3,2.0
Central City,2026-01-20,15,11,10,9,2.0,1,3,3.33
Central City,2026-01-20,16,6,5,5,0.4,0,3,1.67
Central City,2026-01-21,7,1,1,1,10.0,0,0,
Central City,2026-01-21,8,4,4,4,0.25,0,2,2.0
Central City,2026-01-21,9,5,5,5,0.4,0,3,1.67
Central City,2026-01-21,10,12,12,12,17.0,0,3,4.0
Central City,2026-01-21,11,12,11,9,51.22,2,3,3.67
Central City,2026-01-21,12,3,2,2,29.5,0,3,0.67
Central City,2026-01-21,13,4,4,4,0.0,0,3,1.33
Central City,2026-01-21,14,7,7,7,0.14,0,3,2.33
Central City,2026-01-21,15,8,8,8,14.12,0,3,2.67
Central City,2026-01-21,16,9,8,7,16.86,1,3,2.67
Central City,2026-01-21,17,1,1,1,13.0,0,0,
Central City,2026-01-22,8,2,1,1,0.0,0,2,0.5
Central City,2026-01-22,9,3,3,3,1.0,0,3,1.0
Central City,2026-01-22,10,6,6,5,5.8,1,3,2.0
Central City,2026-01-22,11,4,4,4,0.5,0,3,1.33
Central City,2026-01-22,12,4,4,4,0.0,0,3,1.33
Central City,2026-01-22,13,7,7,7,0.0,0,3,2.33
Central City,2026-01-22,14,5,5,5,2.4,0,3,1.67
Central City,2026-01-22,15,10,10,10,3.3,0,3,3.33
Central City,2026-01-22,16,2,2,2,0.0,0,3,0.67
Central City,2026-01-23,8,5,5,4,0.5,1,2,2.5
Central City,2026-01-23,9,4,2,2,0.0,0,3,0.67
Central City,2026-01-23,10,11,9,9,6.22,0,3,3.0
Central City,2026-01-23,11,2,2,1,0.0,1,3,0.67
Central City,2026-01-23,12,3,2,2,0.0,0,3,0.67
Central City,2026-01-23,13,2,2,2,0.0,0,3,0.67
Central City,2026-01-23,14,7,6,6,0.0,0,3,2.0
Central City,2026-01-23,15,8,8,8,10.25,0,3,2.67
Central City,2026-01-23,16,7,7,6,2.33,1,3,2.33
Central City,2026-01-24,8,6,6,6,2.5,0,2,3.0
Central City,2026-01-24,9,8,8,8,2.62,0,3,2.67
Central City,2026-01-24,10,3,1,1,2.0,0,3,0.33
Central City,2026-01-24,11,7,7,7,8.86,0,3,2.33
Central City,2026-01-24,12,4,4,4,2.0,0,3,1.33
Central City,2026-01-26,8,3,1,1,0.0,0,2,0.5
Central City,2026-01-26,9,8,8,8,2.62,0,3,2.67
Central City,2026-01-26,10,7,7,7,0.43,0,3,2.33
Central City,2026-01-26,11,11,10,10,18.3,0,3,3.33
Central City,2026-01-26,13,2,1,1,0.0,0,3,0.33
Central City,2026-01-26,14,8,7,7,3.14,0,3,2.33
Central City,2026-01-26,15,17,15,11,44.27,4,3,5.0
Central City,2026-01-26,16,9,9,9,70.0,0,3,3.0
Central City,2026-01-27,8,1,1,1,0.0,0,2,0.5
Central City,2026-01-27,9,4,3,3,0.0,0,3,1.0
Central City,2026-01-27,10,13,13,13,4.85,0,3,4.33
Central City,2026-01-27,11,6,5,5,4.4,0,3,1.67
Central City,2026-01-27,12,1,1,1,0.0,0,3,0.33
Central City,2026-01-27,13,6,6,6,0.17,0,3,2.0
Central City,2026-01-27,14,5,5,4,0.0,1,3,1.67
Central City,2026-01-27,15,13,13,10,23.2,3,3,4.33
Central City,2026-01-27,16,8,7,6,43.83,1,3,2.33
Central City,2026-01-28,8,3,3,3,0.0,0,2,1.5
Central City,2026-01-28,9,11,11,10,4.0,1,3,3.67
Central City,2026-01-28,10,11,10,10,15.2,0,3,3.33
Central City,2026-01-28,11,1,1,1,0.0,0,3,0.33
Central City,2026-01-28,12,4,4,4,0.0,0,3,1.33
Central City,2026-01-28,13,5,5,4,0.0,1,3,1.67
Central City,2026-01-28,14,10,9,9,6.56,0,3,3.0
Central City,2026-01-28,15,6,6,6,13.5,0,3,2.0
Central City,2026-01-28,16,11,11,11,20.18,0,3,3.67
Central City,2026-01-29,8,3,3,3,0.0,0,2,1.5
Central City,2026-01-29,9,5,5,4,0.0,1,3,1.67
Central City,2026-01-29,10,4,3,3,0.0,0,3,1.0
Central City,2026-01-29,11,3,3,3,0.0,0,3,1.0
Central City,2026-01-29,12,4,4,4,0.0,0,3,1.33
Central City,2026-01-29,13,7,7,7,0.71,0,3,2.33
Central City,2026-01-29,14,10,9,8,4.88,1,3,3.0
Central City,2026-01-29,15,14,14,11,28.55,3,3,4.67
Central City,2026-01-29,16,6,5,5,28.6,0,3,1.67
Central City,2026-01-30,7,1,1,1,4.0,0,0,
Central City,2026-01-30,8,2,1,1,0.0,0,2,0.5
Central City,2026-01-30,9,6,5,4,0.0,1,3,1.67
Central City,2026-01-30,10,7,6,4,2.0,2,3,2.0
Central City,2026-01-30,11,7,5,5,0.0,0,3,1.67
Central City,2026-01-30,12,4,4,4,0.0,0,3,1.33
Central City,2026-01-30,13,4,4,4,1.0,0,3,1.33
Central City,2026-01-30,14,3,3,3,6.0,0,3,1.0
Central City,2026-01-30,15,9,8,8,0.88,0,3,2.67
Central City,2026-01-30,16,10,8,8,16.88,0,3,2.67
Central City,2026-01-31,8,3,3,3,0.0,0,2,1.5
Central City,2026-01-31,9,7,7,7,5.29,0,3,2.33
Central City,2026-01-31,10,11,9,9,13.67,0,3,3.0
Central City,2026-01-31,11,8,7,7,2.29,0,3,2.33
Central City,2026-01-31,12,3,3,3,3.33,0,3,1.0
Central City,2026-01-31,13,1,1,1,0.0,0,0,
Central City,2026-02-02,8,1,1,1,0.0,0,2,0.5
Central City,2026-02-02,9,6,6,6,0.0,0,3,2.0
Central City,2026-02-02,10,7,6,6,1.17,0,3,2.0
Central City,2026-02-02,11,10,9,8,7.5,1,3,3.0
Central City,2026-02-02,12,5,5,5,0.8,0,3,1.67
Central City,2026-02-02,13,5,4,4,0.0,0,3,1.33
Central City,2026-02-02,14,6,6,5,0.0,1,3,2.0
Central City,2026-02-02,15,18,17,12,33.08,5,3,5.67
Central City,2026-02-02,16,11,10,8,51.12,2,3,3.33
Central City,2026-02-02,17,1,1,1,32.0,0,0,
Central City,2026-02-03,7,1,1,1,14.0,0,0,
Central City,2026-02-03,8,5,5,3,0.0,2,2,2.5
Central City,2026-02-03,9,16,15,14,17.43,1,3,5.0
Central City,2026-02-03,10,18,15,12,32.83,3,3,5.0
Central City,2026-02-03,11,2,2,2,20.5,0,3,0.67
Central City,2026-02-03,12,1,1,1,0.0,0,3,0.33
Central City,2026-02-03,13,7,7,7,0.43,0,3,2.33
Central City,2026-02-03,14,3,3,3,0.0,0,3,1.0
Central City,2026-02-03,15,11,10,10,7.9,0,3,3.33
Central City,2026-02-03,16,8,8,8,17.88,0,3,2.67
Central City,2026-02-03,17,1,1,1,16.0,0,0,
Central City,2026-02-04,8,3,3,3,0.0,0,2,1.5
Central City,2026-02-04,9,9,7,7,0.0,0,3,2.33
Central City,2026-02-04,10,5,5,5,0.0,0,3,1.67
Central City,2026-02-04,11,6,6,6,2.33,0,3,2.0
Central City,2026-02-04,12,6,6,6,1.33,0,3,2.0
Central City,2026-02-04,13,7,7,7,0.0,0,3,2.33
Central City,2026-02-04,14,5,5,5,2.4,0,3,1.67
Central City,2026-02-04,15,15,15,14,19.57,1,3,5.0
Central City,2026-02-04,16,8,7,6,36.5,1,3,2.33
Central City,2026-02-04,17,2,2,2,25.0,0,0,
Central City,2026-02-05,9,8,8,8,3.5,0,3,2.67
Central City,2026-02-05,10,15,12,10,13.7,2,3,4.0
Central City,2026-02-05,11,4,4,4,5.0,0,3,1.33
Central City,2026-02-05,12,3,3,3,0.0,0,3,1.0
Central City,2026-02-05,13,3,3,3,0.0,0,3,1.0
Central City,2026-02-05,14,5,5,4,0.0,1,3,1.67
Central City,2026-02-05,15,12,11,11,3.09,0,3,3.67
Central City,2026-02-05,16,10,9,9,7.22,0,3,3.0
Central City,2026-02-06,8,1,1,1,0.0,0,2,0.5
Central City,2026-02-06,9,9,9,8,6.38,1,3,3.0
Central City,2026-02-06,10,12,11,10,24.2,1,3,3.67
Central City,2026-02-06,11,6,6,6,12.33,0,3,2.0
Central City,2026-02-06,12,1,1,1,0.0,0,3,0.33
Central City,2026-02-06,13,2,2,2,0.0,0,3,0.67
Central City,2026-02-06,14,11,11,10,2.4,1,3,3.67
Central City,2026-02-06,15,13,13,12,39.67,1,3,4.33
Central City,2026-02-06,16,13,10,9,43.89,1,3,3.33
Central City,2026-02-07,7,1,1,1,3.0,0,0,
Central City,2026-02-07,8,4,4,4,29.75,0,2,2.0
Central City,2026-02-07,9,11,10,10,10.5,0,3,3.33
Central City,2026-02-07,10,13,11,10,35.0,1,3,3.67
Central City,2026-02-07,11,6,6,5,43.2,1,3,2.0
Central City,2026-02-07,12,5,4,4,0.0,0,3,1.33
Central City,2026-02-09,7,3,3,3,17.33,0,0,
Central City,2026-02-09,8,8,7,6,19.83,1,2,3.5
Central City,2026-02-09,9,12,11,11,9.64,0,3,3.67
Central City,2026-02-09,10,14,13,11,52.09,2,3,4.33
Central City,2026-02-09,11,4,3,3,39.67,0,3,1.0
Central City,2026-02-09,12,5,4,3,11.0,1,3,1.33
Central City,2026-02-09,13,2,2,2,0.0,0,3,0.67
Central City,2026-02-09,14,8,8,8,3.75,0,3,2.67
Central City,2026-02-09,15,12,11,9,14.44,2,3,3.67
Central City,2026-02-09,16,5,4,3,26.0,1,3,1.33
Central City,2026-02-10,8,3,1,1,0.0,0,2,0.5
Central City,2026-02-10,9,13,11,11,4.73,0,3,3.67
Central City,2026-02-10,10,9,9,9,1.89,0,3,3.0
Central City,2026-02-10,11,11,11,11,15.27,0,3,3.67
Central City,2026-02-10,12,3,2,2,16.0,0,3,0.67
Central City,2026-02-10,13,6,6,6,2.0,0,3,2.0
Central City,2026-02-10,14,8,8,8,2.38,0,3,2.67
Central City,2026-02-10,15,10,8,8,7.5,0,3,2.67
Central City,2026-02-10,16,12,11,10,24.1,1,3,3.67
Central City,2026-02-11,8,7,5,5,0.4,0,2,2.5
Central City,2026-02-11,9,8,7,7,7.71,0,3,2.33
Central City,2026-02-11,10,8,8,8,4.62,0,3,2.67
Central City,2026-02-11,11,12,8,6,17.0,2,3,2.67
Central City,2026-02-11,12,4,4,4,3.5,0,3,1.33
Central City,2026-02-11,13,4,4,4,0.0,0,3,1.33
Central City,2026-02-11,14,3,3,3,4.67,0,3,1.0
Central City,2026-02-11,15,11,11,11,9.36,0,3,3.67
Central City,2026-02-11,16,9,9,8,45.38,1,3,3.0
Central City,2026-02-12,8,4,4,4,0.0,0,2,2.0
Central City,2026-02-12,9,7,6,6,0.0,0,3,2.0
Central City,2026-02-12,10,10,10,10,19.6,0,3,3.33
Central City,2026-02-12,11,7,5,4,32.0,1,3,1.67
Central City,2026-02-12,12,4,3,3,7.67,0,3,1.0
Central City,2026-02-12,13,6,5,5,0.4,0,3,1.67
Central City,2026-02-12,14,5,5,5,3.4,0,3,1.67
Central City,2026-02-12,15,10,9,9,5.33,0,3,3.0
Central City,2026-02-12,16,11,10,8,32.25,2,3,3.33
Central City,2026-02-13,8,2,1,1,0.0,0,2,0.5
Central City,2026-02-13,9,5,5,5,0.0,0,3,1.67
Central City,2026-02-13,10,9,9,9,9.0,0,3,3.0
Central City,2026-02-13,11,9,9,8,13.88,1,3,3.0
Central City,2026-02-13,12,6,5,4,12.5,1,3,1.67
Central City,2026-02-13,13,5,5,3,0.0,2,3,1.67
Central City,2026-02-13,14,7,6,6,1.0,0,3,2.0
Central City,2026-02-13,15,5,5,5,0.0,0,3,1.67
Central City,2026-02-13,16,9,9,8,18.5,1,3,3.0
Central City,2026-02-14,8,5,4,4,1.0,0,2,2.0
Central City,2026-02-14,9,11,11,11,16.18,0,3,3.67
Central City,2026-02-14,10,18,17,14,63.79,3,3,5.67
Central City,2026-02-14,11,12,12,9,97.67,3,3,4.0
Central City,2026-02-14,12,4,4,4,95.5,0,3,1.33
Central City,2026-02-16,7,1,1,1,15.0,0,0,
Central City,2026-02-16,8,4,4,3,2.67,1,2,2.0
Central City,2026-02-16,9,16,15,15,16.6,0,3,5.0
Central City,2026-02-16,10,16,15,11,45.64,4,3,5.0
Central City,2026-02-16,11,6,3,3,55.0,0,3,1.0
Central City,2026-02-16,12,4,4,3,0.0,1,3,1.33
Central City,2026-02-16,13,5,5,5,0.0,0,3,1.67
Central City,2026-02-16,14,14,14,13,33.54,1,3,4.67
Central City,2026-02-16,15,10,10,7,48.57,3,3,3.33
Central City,2026-02-16,16,12,10,8,44.25,2,3,3.33
Central City,2026-02-17,8,4,4,4,1.5,0,2,2.0
Central City,2026-02-17,9,8,8,8,4.38,0,3,2.67
Central City,2026-02-17,10,9,7,7,7.86,0,3,2.33
Central City,2026-02-17,11,8,6,5,0.0,1,3,2.0
Central City,2026-02-17,12,7,7,7,5.29,0,3,2.33
Central City,2026-02-17,13,4,3,3,0.0,0,3,1.0
Central City,2026-02-17,14,5,5,4,0.0,1,3,1.67
Central City,2026-02-17,15,9,8,7,0.29,1,3,2.67
Central City,2026-02-17,16,7,5,5,2.2,0,3,1.67
Central City,2026-02-17,17,1,1,1,0.0,0,0,
Central City,2026-02-18,8,6,5,5,1.2,0,2,2.5
Central City,2026-02-18,9,5,5,5,0.0,0,3,1.67
Central City,2026-02-18,10,14,13,11,21.36,2,3,4.33
Central City,2026-02-18,11,5,3,3,16.67,0,3,1.0
Central City,2026-02-18,12,4,3,3,0.0,0,3,1.0
Central City,2026-02-18,13,4,3,3,0.0,0,3,1.0
Central City,2026-02-18,14,9,9,9,10.44,0,3,3.0
Central City,2026-02-18,15,8,8,8,2.38,0,3,2.67
Central City,2026-02-18,16,7,7,7,5.14,0,3,2.33
Central City,2026-02-18,17,1,1,1,0.0,0,0,
Central City,2026-02-19,8,11,10,10,12.2,0,2,5.0
Central City,2026-02-19,9,8,8,7,23.14,1,3,2.67
Central City,2026-02-19,10,10,10,7,27.43,3,3,3.33
Central City,2026-02-19,11,9,9,9,3.33,0,3,3.0
Central City,2026-02-19,12,5,5,5,1.0,0,3,1.67
Central City,2026-02-19,13,3,3,3,0.0,0,3,1.0
Central City,2026-02-19,14,2,2,2,0.0,0,3,0.67
Central City,2026-02-19,15,7,7,7,0.0,0,3,2.33
Central City,2026-02-19,16,4,4,4,0.0,0,3,1.33
Central City,2026-02-20,8,3,2,2,0.0,0,2,1.0
Central City,2026-02-20,9,4,4,4,0.0,0,3,1.33
Central City,2026-02-20,10,16,15,13,22.31,2,3,5.0
Central City,2026-02-20,11,1,1,1,27.0,0,3,0.33
Central City,2026-02-20,12,1,1,1,0.0,0,3,0.33
Central City,2026-02-20,13,6,6,6,4.83,0,3,2.0
Central City,2026-02-20,14,4,4,4,12.5,0,3,1.33
Central City,2026-02-20,15,12,11,10,12.6,1,3,3.67
Central City,2026-02-20,16,6,6,6,14.5,0,3,2.0
Central City,2026-02-21,7,1,1,1,11.0,0,0,
Central City,2026-02-21,8,2,2,2,0.0,0,2,1.0
Central City,2026-02-21,9,12,11,11,3.0,0,3,3.67
Central City,2026-02-21,10,16,16,14,31.5,2,3,5.33
Central City,2026-02-21,11,8,8,7,35.71,1,3,2.67
Central City,2026-02-21,12,2,2,2,10.5,0,3,0.67
Central City,2026-02-23,8,5,5,5,5.0,0,2,2.5
Central City,2026-02-23,9,8,7,7,10.0,0,3,2.33
Central City,2026-02-23,10,8,7,7,0.14,0,3,2.33
Central City,2026-02-23,11,6,6,6,4.0,0,3,2.0
Central City,2026-02-23,12,7,5,5,0.0,0,3,1.67
Central City,2026-02-23,13,6,6,5,0.0,1,3,2.0
Central City,2026-02-23,14,8,8,7,1.71,1,3,2.67
Central City,2026-02-23,15,6,6,6,5.83,0,3,2.0
Central City,2026-02-23,16,14,11,8,18.62,3,3,3.67
Central City,2026-02-24,8,4,4,4,5.25,0,2,2.0
Central City,2026-02-24,9,10,8,8,5.5,0,3,2.67
Central City,2026-02-24,10,12,11,9,26.0,2,3,3.67
Central City,2026-02-24,11,8,7,7,19.0,0,3,2.33
Central City,2026-02-24,12,6,6,6,0.33,0,3,2.0
Central City,2026-02-24,13,2,2,2,2.0,0,3,0.67
Central City,2026-02-24,14,5,4,4,1.0,0,3,1.33
Central City,2026-02-24,15,15,12,12,2.58,0,3,4.0
Central City,2026-02-24,16,5,5,5,10.0,0,3,1.67
Central City,2026-02-25,8,4,4,3,1.0,1,2,2.0
Central City,2026-02-25,9,5,5,4,0.0,1,3,1.67
Central City,2026-02-25,10,8,8,8,21.25,0,3,2.67
Central City,2026-02-25,11,4,4,4,0.75,0,3,1.33
Central City,2026-02-25,12,2,2,2,0.0,0,3,0.67
Central City,2026-02-25,13,2,2,2,0.0,0,3,0.67
Central City,2026-02-25,14,5,5,5,1.2,0,3,1.67
Central City,2026-02-25,15,9,9,9,8.33,0,3,3.0
Central City,2026-02-25,16,10,10,8,32.25,2,3,3.33
Central City,2026-02-26,8,4,4,4,1.0,0,2,2.0
Central City,2026-02-26,9,7,7,7,0.86,0,3,2.33
Central City,2026-02-26,10,20,18,15,28.6,3,3,6.0
Central City,2026-02-26,11,8,7,5,67.6,2,3,2.33
Central City,2026-02-26,12,4,4,3,36.67,1,3,1.33
Central City,2026-02-26,13,4,3,3,0.0,0,3,1.0
Central City,2026-02-26,14,10,9,9,5.89,0,3,3.0
Central City,2026-02-26,15,10,8,8,25.38,0,3,2.67
Central City,2026-02-26,16,8,7,6,14.5,1,3,2.33
Central City,2026-02-27,7,1,1,1,1.0,0,0,
Central City,2026-02-27,8,3,2,2,0.0,0,2,1.0
Central City,2026-02-27,9,11,10,10,2.9,0,3,3.33
Central City,2026-02-27,10,11,11,10,12.6,1,3,3.67
Central City,2026-02-27,11,6,4,4,0.0,0,3,1.33
Central City,2026-02-27,12,3,3,3,0.0,0,3,1.0
Central City,2026-02-27,13,4,3,3,0.0,0,3,1.0
Central City,2026-02-27,14,8,8,7,2.14,1,3,2.67
Central City,2026-02-27,15,13,11,10,17.9,1,3,3.67
Central City,2026-02-27,16,7,7,6,13.83,1,3,2.33
Central City,2026-02-28,7,1,1,1,3.0,0,0,
Central City,2026-02-28,8,2,1,1,0.0,0,2,0.5
Central City,2026-02-28,9,6,6,6,1.0,0,3,2.0
Central City,2026-02-28,10,10,10,10,9.3,0,3,3.33
Central City,2026-02-28,11,15,13,12,9.58,1,3,4.33
Central City,2026-02-28,12,6,6,6,16.67,0,3,2.0
Central City,2026-03-02,8,3,3,3,2.67,0,2,1.5
Central City,2026-03-02,9,12,12,11,19.73,1,3,4.0
Central City,2026-03-02,10,14,14,8,43.0,6,3,4.67
Central City,2026-03-02,11,13,13,10,59.0,3,3,4.33
Central City,2026-03-02,12,4,4,3,55.0,1,3,1.33
Central City,2026-03-02,14,5,5,5,0.0,0,3,1.67
